-52,-280,446,NA,NA,NA,NA,
14,-372,459,NA,NA,NA,NA,
-33,-280,412,NA,NA,NA,NA,40716-10430100
-8,-368,409,NA,NA,NA,NA,40716-10430100
-40,-361,436,NA,NA,NA,NA,40716-10430200
-48,-351,429,NA,NA,NA,NA,40716-10430200
-54,-309,466,NA,NA,NA,NA,40716-10430300
-30,-280,426,NA,NA,NA,NA,40716-10430300
-24,-343,417,NA,NA,NA,NA,40716-10430400
-31,-296,404,NA,NA,NA,NA,40716-10430400
-16,-397,471,NA,NA,NA,NA,40716-10430500
6,-401,456,NA,NA,NA,NA,40716-10430500
-7,-348,417,NA,NA,NA,NA,40716-10430600
0,-362,419,NA,NA,NA,NA,40716-10430600
-16,-330,414,NA,NA,NA,NA,40716-10430700
18,-386,469,NA,NA,NA,NA,40716-10430700
-41,-374,425,NA,NA,NA,NA,40716-10430800
-35,-337,443,NA,NA,NA,NA,40716-10430800
-56,-311,414,NA,NA,NA,NA,40716-10430900
-46,-375,455,NA,NA,NA,NA,40716-10430900
9,-401,466,NA,NA,NA,NA,40716-10431000
-7,-364,421,NA,NA,NA,NA,40716-10431100
-16,-347,425,NA,NA,NA,NA,40716-10431100
-25,-292,424,NA,NA,NA,NA,40716-10431200
-15,-416,450,NA,NA,NA,NA,40716-10431200
10,-401,476,NA,NA,NA,NA,40716-10431300
-20,-364,428,NA,NA,NA,NA,40716-10431300
-22,-421,434,NA,NA,NA,NA,40716-10431400
-45,-424,460,NA,NA,NA,NA,40716-10431400
-17,-365,417,NA,NA,NA,NA,40716-10431500
-58,-304,428,NA,NA,NA,NA,40716-10431500
-29,-355,407,NA,NA,NA,NA,40716-10431500
7,-362,420,NA,NA,NA,NA,40716-10431500
-31,-391,471,NA,NA,NA,NA,40716-10431700
-41,-347,425,NA,NA,NA,NA,40716-10431700
-25,-330,454,NA,NA,NA,NA,40716-10431800
-50,-292,448,NA,NA,NA,NA,40716-10431800
-8,-404,418,NA,NA,NA,NA,40716-10431900
-17,-263,418,NA,NA,NA,NA,40716-10431900
3,-420,456,NA,NA,NA,NA,40716-10432000
-17,-374,425,NA,NA,NA,NA,40716-10432000
12,-394,471,NA,NA,NA,NA,40716-10432100
-50,-305,432,NA,NA,NA,NA,40716-10432100
3,-362,464,NA,NA,NA,NA,40716-10432100
-30,-361,455,NA,NA,NA,NA,40716-10432100
-15,-382,418,NA,NA,NA,NA,40716-10432300
-17,-347,403,NA,NA,NA,NA,40716-10432300
-20,-368,459,NA,NA,NA,NA,40716-10432400
-44,-331,412,NA,NA,NA,NA,40716-10432400
1,-403,448,NA,NA,NA,NA,40716-10432500
-50,-296,418,NA,NA,NA,NA,40716-10432500
-40,-393,456,NA,NA,NA,NA,40716-10432600
-50,-342,404,NA,NA,NA,NA,40716-10432600
-57,-292,415,NA,NA,NA,NA,40716-10432700
-21,-335,421,NA,NA,NA,NA,40716-10432700
-44,-289,457,NA,NA,NA,NA,40716-10432800
-47,-295,407,NA,NA,NA,NA,40716-10432800
-47,-352,417,NA,NA,NA,NA,40716-10432900
-27,-294,415,NA,NA,NA,NA,40716-10432900
-43,-357,402,NA,NA,NA,NA,40716-10433000
-41,-412,425,NA,NA,NA,NA,40716-10433000
-31,-343,451,NA,NA,NA,NA,40716-10433100
-8,-407,435,NA,NA,NA,NA,40716-10433100
-57,-311,416,NA,NA,NA,NA,40716-10433200
-38,-367,419,NA,NA,NA,NA,40716-10433200
-15,-393,451,NA,NA,NA,NA,40716-10433300
-23,-325,432,NA,NA,NA,NA,40716-10433300
-8,-359,418,NA,NA,NA,NA,40716-10433400
-16,-329,402,NA,NA,NA,NA,40716-10433400
-46,-356,467,NA,NA,NA,NA,40716-10433500
-41,-395,456,NA,NA,NA,NA,40716-10433500
-12,-325,403,NA,NA,NA,NA,40716-10433600
-37,-369,460,NA,NA,NA,NA,40716-10433600
-24,-297,414,NA,NA,NA,NA,40716-10433700
-35,-321,455,NA,NA,NA,NA,40716-10433700
-31,-336,432,NA,NA,NA,NA,40716-10433800
-44,-284,458,NA,NA,NA,NA,40716-10433800
-27,-330,450,NA,NA,NA,NA,40716-10433700
20,-416,470,NA,NA,NA,NA,40716-10433700
-24,-320,430,NA,NA,NA,NA,40716-10433800
-22,-311,430,NA,NA,NA,NA,40716-10433800
-30,-329,468,NA,NA,NA,NA,40716-10433900
-16,-416,439,NA,NA,NA,NA,40716-10433900
-33,-371,417,NA,NA,NA,NA,40716-10434000
-36,-375,466,NA,NA,NA,NA,40716-10434000
-48,-376,437,NA,NA,NA,NA,40716-10434100
-53,-338,427,NA,NA,NA,NA,40716-10434100
-2,-341,420,NA,NA,NA,NA,40716-10434200
12,-425,448,NA,NA,NA,NA,40716-10434200
-49,-305,417,NA,NA,NA,NA,40716-10434300
